Time,Operator,Production Order,Material #,Quantity,Serial #,Leak Rate
2021-06-30 14:44:18.082279,Colin Moore,6030159,5198832,20,,2.8499054545388947e-08
2021-06-30 14:44:18.171869,Colin Moore,6030159,5198832,20,,2.903294859962847e-08
2021-06-30 14:44:18.261366,Colin Moore,6030159,5198832,20,,2.9978814572527046e-08
2021-06-30 14:44:18.350736,Colin Moore,6030159,5198832,20,,3.110219763769163e-08
2021-06-30 14:44:18.440378,Colin Moore,6030159,5198832,20,,3.210530373056281e-08
2021-06-30 14:44:18.529861,Colin Moore,6030159,5198832,20,,3.312284096105925e-08
2021-06-30 14:44:18.619353,Colin Moore,6030159,5198832,20,,3.3945399718277264e-08
2021-06-30 14:44:18.709098,Colin Moore,6030159,5198832,20,,3.4361409351487426e-08
2021-06-30 14:44:18.798661,Colin Moore,6030159,5198832,20,,3.463351076316609e-08
2021-06-30 14:44:18.888124,Colin Moore,6030159,5198832,20,,3.495895132298338e-08
2021-06-30 14:44:18.977654,Colin Moore,6030159,5198832,20,,3.5581402771910166e-08
2021-06-30 14:44:19.067134,Colin Moore,6030159,5198832,20,,3.6801592649636707e-08
2021-06-30 14:44:19.157397,Colin Moore,6030159,5198832,20,,3.84572413543307e-08
2021-06-30 14:44:19.247109,Colin Moore,6030159,5198832,20,,4.0472233911603246e-08
2021-06-30 14:44:19.336869,Colin Moore,6030159,5198832,20,,4.237551719269932e-08
2021-06-30 14:44:19.426242,Colin Moore,6030159,5198832,20,,4.4013027539085567e-08
2021-06-30 14:44:19.515232,Colin Moore,6030159,5198832,20,,4.537239928564286e-08
2021-06-30 14:44:19.604145,Colin Moore,6030159,5198832,20,,4.6584076853281244e-08
2021-06-30 14:44:19.693620,Colin Moore,6030159,5198832,20,,4.780594739888277e-08
2021-06-30 14:44:19.782456,Colin Moore,6030159,5198832,20,,4.924433884701402e-08
2021-06-30 14:44:19.871218,Colin Moore,6030159,5198832,20,,5.0554216010095375e-08
2021-06-30 14:44:19.960068,Colin Moore,6030159,5198832,20,,5.193666963124681e-08
2021-06-30 14:44:20.048913,Colin Moore,6030159,5198832,20,,5.338652251527427e-08
2021-06-30 14:44:20.138090,Colin Moore,6030159,5198832,20,,5.4733693610196093e-08
2021-06-30 14:44:20.226936,Colin Moore,6030159,5198832,20,,5.6092688206701805e-08
2021-06-30 14:44:20.316023,Colin Moore,6030159,5198832,20,,5.760488465791014e-08
2021-06-30 14:44:20.405069,Colin Moore,6030159,5198832,20,,5.881094692700114e-08
2021-06-30 14:44:20.493826,Colin Moore,6030159,5198832,20,,6.014788993652842e-08
2021-06-30 14:44:20.582906,Colin Moore,6030159,5198832,20,,6.170841898940185e-08
2021-06-30 14:44:20.671619,Colin Moore,6030159,5198832,20,,6.308060087854634e-08
2021-06-30 14:44:20.760481,Colin Moore,6030159,5198832,20,,6.416332215826642e-08
2021-06-30 14:44:20.849649,Colin Moore,6030159,5198832,20,,6.516730306923635e-08
2021-06-30 14:44:20.938807,Colin Moore,6030159,5198832,20,,6.614555343350424e-08
2021-06-30 14:44:21.027803,Colin Moore,6030159,5198832,20,,6.74376707115398e-08
2021-06-30 14:44:21.117354,Colin Moore,6030159,5198832,20,,6.8671780785027e-08
2021-06-30 14:44:21.207022,Colin Moore,6030159,5198832,20,,6.957253204601547e-08
2021-06-30 14:44:21.296150,Colin Moore,6030159,5198832,20,,7.057494268471173e-08
2021-06-30 14:44:21.385141,Colin Moore,6030159,5198832,20,,7.158812607731035e-08
2021-06-30 14:44:21.474201,Colin Moore,6030159,5198832,20,,7.254867031471692e-08
2021-06-30 14:44:21.563162,Colin Moore,6030159,5198832,20,,7.341233876294692e-08
2021-06-30 14:44:21.652146,Colin Moore,6030159,5198832,20,,7.406765691882655e-08
2021-06-30 14:44:21.741178,Colin Moore,6030159,5198832,20,,7.4848746490882e-08
2021-06-30 14:44:21.830224,Colin Moore,6030159,5198832,20,,7.561850922249871e-08
2021-06-30 14:44:21.919331,Colin Moore,6030159,5198832,20,,7.591487291714286e-08
2021-06-30 14:44:22.008338,Colin Moore,6030159,5198832,20,,7.617684000556386e-08
2021-06-30 14:44:22.097473,Colin Moore,6030159,5198832,20,,7.683175664753503e-08
2021-06-30 14:44:22.186604,Colin Moore,6030159,5198832,20,,7.746356434244365e-08
2021-06-30 14:44:22.275762,Colin Moore,6030159,5198832,20,,7.791143333297998e-08
2021-06-30 14:44:22.364881,Colin Moore,6030159,5198832,20,,7.864475821493664e-08
2021-06-30 14:44:22.453875,Colin Moore,6030159,5198832,20,,7.879941634444562e-08
2021-06-30 14:44:22.542902,Colin Moore,6030159,5198832,20,,7.850281127317038e-08
2021-06-30 14:44:22.632074,Colin Moore,6030159,5198832,20,,7.889401434248094e-08
2021-06-30 14:44:22.722046,Colin Moore,6030159,5198832,20,,7.92042040170089e-08
2021-06-30 14:44:22.812020,Colin Moore,6030159,5198832,20,,7.909569749491605e-08
2021-06-30 14:44:22.901942,Colin Moore,6030159,5198832,20,,7.932086620689193e-08
2021-06-30 14:44:22.991942,Colin Moore,6030159,5198832,20,,7.934108092171919e-08
2021-06-30 14:44:23.081920,Colin Moore,6030159,5198832,20,,7.969142535278762e-08
2021-06-30 14:44:23.171819,Colin Moore,6030159,5198832,20,,7.967742565521228e-08
2021-06-30 14:44:23.261791,Colin Moore,6030159,5198832,20,,7.997892844794646e-08
2021-06-30 14:44:23.351719,Colin Moore,6030159,5198832,20,,8.004498060382088e-08
2021-06-30 14:44:23.441676,Colin Moore,6030159,5198832,20,,8.013359861619548e-08
2021-06-30 14:44:23.531624,Colin Moore,6030159,5198832,20,,8.025577416991546e-08
2021-06-30 14:44:23.621585,Colin Moore,6030159,5198832,20,,8.02543648165381e-08
2021-06-30 14:44:23.711558,Colin Moore,6030159,5198832,20,,8.008154201035166e-08
2021-06-30 14:44:23.801478,Colin Moore,6030159,5198832,20,,8.023992027511515e-08
2021-06-30 14:44:23.891448,Colin Moore,6030159,5198832,20,,7.98785427020025e-08
2021-06-30 14:44:23.981385,Colin Moore,6030159,5198832,20,,7.987713954300038e-08
2021-06-30 14:44:24.071316,Colin Moore,6030159,5198832,20,,7.98035061445208e-08
2021-06-30 14:44:24.161262,Colin Moore,6030159,5198832,20,,7.980946457422936e-08
2021-06-30 14:44:24.250671,Colin Moore,6030159,5198832,20,,7.97730195384675e-08
2021-06-30 14:44:24.339592,Colin Moore,6030159,5198832,20,,7.958718315198374e-08
2021-06-30 14:44:24.428064,Colin Moore,6030159,5198832,20,,7.950402149253651e-08
2021-06-30 14:44:24.516561,Colin Moore,6030159,5198832,20,,7.969177537484517e-08
2021-06-30 14:44:24.605114,Colin Moore,6030159,5198832,20,,7.94673585545725e-08
2021-06-30 14:44:24.693940,Colin Moore,6030159,5198832,20,,7.939687087336082e-08
2021-06-30 14:44:24.782469,Colin Moore,6030159,5198832,20,,7.954384501267895e-08
2021-06-30 14:44:24.871025,Colin Moore,6030159,5198832,20,,7.948516427668266e-08
2021-06-30 14:44:24.959545,Colin Moore,6030159,5198832,20,,7.914958537226759e-08
2021-06-30 14:44:25.048955,Colin Moore,6030159,5198832,20,,7.915306320334959e-08
2021-06-30 14:44:25.138047,Colin Moore,6030159,5198832,20,,7.904462305131345e-08
2021-06-30 14:44:25.226622,Colin Moore,6030159,5198832,20,,7.879422178063204e-08
2021-06-30 14:44:25.315908,Colin Moore,6030159,5198832,20,,7.893528314349948e-08
2021-06-30 14:44:25.404846,Colin Moore,6030159,5198832,20,,7.880807467502441e-08
2021-06-30 14:44:25.493356,Colin Moore,6030159,5198832,20,,7.859223349312504e-08
2021-06-30 14:44:25.581783,Colin Moore,6030159,5198832,20,,7.844313554354911e-08
2021-06-30 14:44:25.670370,Colin Moore,6030159,5198832,20,,7.855009971625958e-08
2021-06-30 14:44:25.759727,Colin Moore,6030159,5198832,20,,7.846003351326789e-08
2021-06-30 14:44:25.848400,Colin Moore,6030159,5198832,20,,7.833493323497455e-08
2021-06-30 14:44:25.937225,Colin Moore,6030159,5198832,20,,7.812651401864896e-08
2021-06-30 14:44:26.025741,Colin Moore,6030159,5198832,20,,7.79076650821846e-08
2021-06-30 14:44:26.114578,Colin Moore,6030159,5198832,20,,7.767574306476525e-08
2021-06-30 14:44:26.203349,Colin Moore,6030159,5198832,20,,7.785800911008081e-08
2021-06-30 14:44:26.291890,Colin Moore,6030159,5198832,20,,7.788026490786596e-08
2021-06-30 14:44:26.380514,Colin Moore,6030159,5198832,20,,7.771435035851313e-08
2021-06-30 14:44:26.469067,Colin Moore,6030159,5198832,20,,7.738014353244781e-08
2021-06-30 14:44:26.558037,Colin Moore,6030159,5198832,20,,7.695385559773351e-08
2021-06-30 14:44:26.646556,Colin Moore,6030159,5198832,20,,7.684460022996251e-08
2021-06-30 14:44:26.735527,Colin Moore,6030159,5198832,20,,7.697078177355219e-08
2021-06-30 14:44:26.824471,Colin Moore,6030159,5198832,20,,7.66777977528937e-08
2021-06-30 14:44:26.913162,Colin Moore,6030159,5198832,20,,7.658273797255327e-08
2021-06-30 14:44:27.001427,Colin Moore,6030159,5198832,20,,7.688314359737665e-08
2021-06-30 14:44:27.090220,Colin Moore,6030159,5198832,20,,7.656488506579013e-08
2021-06-30 14:44:27.176883,Colin Moore,6030159,5198832,20,,7.60874109456878e-08
2021-06-30 14:44:27.262937,Colin Moore,6030159,5198832,20,,7.602550729867875e-08
2021-06-30 14:44:27.348729,Colin Moore,6030159,5198832,20,,7.6002431536011e-08
2021-06-30 14:44:27.434615,Colin Moore,6030159,5198832,20,,7.590184782064479e-08
2021-06-30 14:44:27.520460,Colin Moore,6030159,5198832,20,,7.580139425460502e-08
2021-06-30 14:44:27.606248,Colin Moore,6030159,5198832,20,,7.54426938151196e-08
2021-06-30 14:44:27.692030,Colin Moore,6030159,5198832,20,,7.523316766198074e-08
2021-06-30 14:44:27.781648,Colin Moore,6030159,5198832,20,,7.530305720133637e-08
2021-06-30 14:44:27.871799,Colin Moore,6030159,5198832,20,,7.534780637312862e-08
2021-06-30 14:44:27.961005,Colin Moore,6030159,5198832,20,,7.456922939604982e-08
2021-06-30 14:44:28.049494,Colin Moore,6030159,5198832,20,,7.45009837128242e-08
2021-06-30 14:44:28.138950,Colin Moore,6030159,5198832,20,,7.442853872698437e-08
2021-06-30 14:44:28.228375,Colin Moore,6030159,5198832,20,,7.399073055640058e-08
2021-06-30 14:44:28.317778,Colin Moore,6030159,5198832,20,,7.410386495330921e-08
2021-06-30 14:44:28.407097,Colin Moore,6030159,5198832,20,,7.425148255108943e-08
2021-06-30 14:44:28.496351,Colin Moore,6030159,5198832,20,,7.403113991848498e-08
2021-06-30 14:44:28.585624,Colin Moore,6030159,5198832,20,,7.404059355325453e-08
2021-06-30 14:44:28.675060,Colin Moore,6030159,5198832,20,,7.37899759126077e-08
2021-06-30 14:44:28.764415,Colin Moore,6030159,5198832,20,,7.347218324916746e-08
2021-06-30 14:44:28.853673,Colin Moore,6030159,5198832,20,,7.323953657027918e-08
